Company	Role / Position	Company Type	Funding / Stage	Tech Stack Match	Job URL / Careers Page	Application Status	Date Applied	Source / Platform	LinkedIn Company Page	HR / Recruiter Outreach Title	Suggested Outreach Channel	Follow-Up Date	Last Follow-Up	Response Received	Interview Stage	Interview Date	Notes	Salary Range (Monthly INR)	Salary Range (LPA)	Location	Work Mode	Priority	Cold Message Template ID
Cashfree Payments	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.cashfree.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/cashfree/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-FINTECH
Chargebee	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.chargebee.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/chargebee/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-SAAS
Delhivery	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.delhivery.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/delhivery/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-MOBILITY
Freshworks	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.freshworks.com/company/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/freshworks-inc/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-SAAS
Hasura	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://hasura.io/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/hasura/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-GOLANG
Juspay	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://juspay.io/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/juspay/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-FINTECH
Kissflow	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://kissflow.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/kissflow/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-COIMBATORE
Kovai.co	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://www.kovai.co/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/kovai-co/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-GOLANG
LeadSquared	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.leadsquared.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/leadsquared/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-SAAS
Ola	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.olacabs.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/olacabs-com/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-MOBILITY
