Company,Company Type,Stack Match,Job Title,Job URL,Careers Page,LinkedIn,Applied Status,Scraped Date
GoKwik,Product,★★★★★,Check careers page manually,https://gokwik.co/careers,https://gokwik.co/careers,https://www.linkedin.com/company/gokwik/,Not Applied,23/9/2026
Yellow.ai,Product,★★★★★,Check careers page manually,https://yellow.ai/careers/,https://yellow.ai/careers/,https://www.linkedin.com/company/yellowdotai/,Not Applied,23/9/2026
CleverTap,Product,★★★★★,Relevant roles detected — check careers page,https://clevertap.com/careers/,https://clevertap.com/careers/,https://www.linkedin.com/company/clevertap/,Not Applied,23/9/2026
Chargebee,Product,★★★★,Go From Zero to One Million in ARRSet up billing that holds through your first revenue milestones,https://www.chargebee.com/solutions/usecases/zero-to-one-million-ARR-journey/,https://www.chargebee.com/careers/,https://www.linkedin.com/company/chargebee/,Not Applied,23/9/2026
Chargebee,Product,★★★★,"API Quickstart TutorialLearn the Chargebee API, best practices and more",https://www.chargebee.com/tutorials/quickstart/,https://www.chargebee.com/careers/,https://www.linkedin.com/company/chargebee/,Not Applied,23/9/2026
Chargebee,Product,★★★★,API Reference Doc,https://apidocs.chargebee.com/docs/api/,https://www.chargebee.com/careers/,https://www.linkedin.com/company/chargebee/,Not Applied,23/9/2026
Freshworks,Product,★★★★,Check careers page manually,https://www.freshworks.com/careers/,https://www.freshworks.com/careers/,https://www.linkedin.com/company/freshworks/,Not Applied,23/9/2026
Hasura,Product,★★★★★,Check careers page manually,https://hasura.io/careers/,https://hasura.io/careers/,https://www.linkedin.com/company/hasura/,Not Applied,23/9/2026
Postman,Product,★★★★,API Catalog,https://www.postman.com/product/api-catalog/,https://www.postman.com/company/careers,https://www.linkedin.com/company/postman-platform/,Not Applied,23/9/2026
Razorpay,Product,★★★★,Relevant roles detected — check careers page,https://razorpay.com/jobs/,https://razorpay.com/jobs/,https://www.linkedin.com/company/razorpay/,Not Applied,23/9/2026
Juspay,Product,★★★★,Relevant roles detected — check careers page,https://juspay.io/careers,https://juspay.io/careers,https://www.linkedin.com/company/juspay/,Not Applied,23/9/2026
Simpl,Product,★★★★★,Check careers page manually,https://getsimpl.com/careers,https://getsimpl.com/careers,https://www.linkedin.com/company/getsimpl/,Not Applied,23/9/2026
